PassengerId,Survived
892,0
893,1
894,0
895,1
896,1
897,0
898,0
899,0
900,0
901,1
902,1
903,1
904,1
905,0
906,1
907,0
908,0
909,0
910,0
911,0
912,0
913,0
914,1
915,0
916,0
917,1
918,0
919,1
920,1
921,0
922,1
923,0
924,0
925,0
926,0
927,0
928,0
929,0
930,0
931,0
932,1
933,0
934,0
935,1
936,1
937,0
938,0
939,1
940,0
941,0
942,1
943,0
944,0
945,1
946,1
947,0
948,1
949,1
950,0
951,0
952,1
953,1
954,1
955,0
956,1
957,0
958,0
959,1
960,1
961,0
962,0
963,0
964,1
965,0
966,1
967,0
968,0
969,1
970,0
971,0
972,0
973,1
974,0
975,0
976,1
977,0
978,0
979,1
980,0
981,1
982,0
983,1
984,0
985,0
986,1
987,0
988,1
989,1
990,0
991,1
992,1
993,0
994,0
995,0
996,1
997,0
998,0
999,1
1000,1
1001,1
1002,0
1003,0
1004,0
1005,0
1006,1
1007,1
1008,0
1009,1
1010,1
1011,0
1012,0
1013,0
1014,0
1015,0
1016,0
1017,0
1018,0
1019,1
1020,0
1021,1
1022,0
1023,0
1024,1
1025,0
1026,0
1027,0
1028,0
1029,0
1030,0
1031,1
1032,0
1033,0
1034,0
1035,1
1036,1
1037,0
1038,0
1039,0
1040,0
1041,0
1042,0
1043,0
1044,1
1045,1
1046,1
1047,1
1048,0
1049,0
1050,0
1051,0
1052,1
1053,1
1054,1
1055,0
1056,0
1057,1
1058,1
1059,0
1060,0
1061,1
1062,0
1063,0
1064,1
1065,0
1066,0
1067,0
1068,0
1069,1
